G1
3.	 d  c:	0.27684
4.	 d  a:	0.36684
5.	 b  d:	0.27684
6.	 b  b:	0.2124
7.	 a  b:	0.58244
8.	 d  d:	0.27684
9.	 c  d:	0.27684
10.	 c  a:	0.36684
11.	 b  a:	0.36684
12.	 c  c:	0.27684
13.	 b  c:	0.27684
14.	 a  d:	0.27684
15.	 a  a:	0.36684
16.	 c  b:	0.58244
G13
1.	 b  b:	0.389
2.	 c  b:	0.389
3.	 a  a:	0.389
4.	 a  c:	0.389
5.	 b  c:	0.389
6.	 c  a:	0.389
7.	 a  b:	0.389
8.	 b  a:	0.389
9.	 c  c:	0.389
G14
1.	 b  f:	0.9325
2.	 b  e:	0.56
3.	 a  b:	0.7
4.	 e  f:	0.9
5.	 a  c:	0.2
6.	 c  d:	0.6
7.	 c  e:	0.36
8.	 c  f:	0.58476
9.	 a  d:	0.2432
10.	 d  e:	0.6
11.	 b  d:	0.2
12.	 a  f:	0.16738
13.	 d  f:	0.678
14.	 a  e:	0.30563
G15
1.	 e  c:	0.09232
2.	 c  e:	0.09232
3.	 b  e:	0.09232
4.	 b  a:	0.09232
5.	 a  c:	0.09232
6.	 c  b:	0.09232
7.	 d  d:	0.09232
8.	 e  a:	0.09232
9.	 a  d:	0.09232
10.	 e  b:	0.09232
11.	 a  b:	0.09232
12.	 a  a:	0.09232
13.	 b  b:	0.09232
14.	 c  d:	0.09232
15.	 d  c:	0.09232
16.	 c  a:	0.09232
17.	 d  e:	0.09232
18.	 a  e:	0.09232
19.	 b  c:	0.09232
20.	 c  c:	0.09232
21.	 d  b:	0.09232
22.	 e  d:	0.09232
23.	 b  d:	0.09232
24.	 d  a:	0.09232
25.	 e  e:	0.09232
G16
1.	 b  d:	0.30816
2.	 d  b:	0.30816
3.	 d  c:	0.47296
4.	 d  d:	0.47296
5.	 b  c:	0.47296
6.	 c  b:	0.47296
7.	 a  a:	0.30816
8.	 c  d:	0.30816
9.	 d  a:	0.47296
10.	 b  b:	0.30816
11.	 a  b:	0.47296
12.	 c  a:	0.30816
13.	 a  c:	0.30816
14.	 c  c:	0.47296
15.	 a  d:	0.30816
16.	 b  a:	0.47296
G17
1.	 d  f:	0.3364
2.	 d  d:	0.5968
3.	 f  f:	0.3364
4.	 f  d:	0.58
G18
1.	 a  b:	0.5
2.	 c  d:	0.5
G19
1.	 b  c:	0.5
2.	 a  c:	0.25
3.	 b  d:	0.625
4.	 c  d:	0.5
5.	 a  b:	0.5
6.	 a  d:	0.3125
G20
1.	 b  c:	0.125
2.	 a  c:	0.125
3.	 b  d:	0.15625
4.	 a  b:	0.25
5.	 c  d:	0.5
6.	 b  a:	0.25
7.	 a  a:	0.25
8.	 a  d:	0.15625
9.	 b  b:	0.25
G21
1.	 a  g:	0.036494034192
2.	 d  e:	0.0561759
3.	 e  f:	0.8
4.	 d  g:	0.0434452788
5.	 f  g:	0.7
6.	 a  e:	0.047187756
7.	 c  g:	0.0434452788
8.	 b  c:	0.38742
9.	 c  d:	0.38742
10.	 a  b:	0.3254328
11.	 b  g:	0.0434452788
12.	 d  c:	0.38742
13.	 a  c:	0.3254328
14.	 d  b:	0.38742
15.	 c  b:	0.38742
16.	 c  c:	0.38742
17.	 b  d:	0.38742
18.	 e  g:	0.56
19.	 b  f:	0.062064684
20.	 c  e:	0.0561759
21.	 d  d:	0.38742
22.	 c  f:	0.062064684
23.	 a  f:	0.05213433456
24.	 d  f:	0.062064684
25.	 b  b:	0.38742
26.	 b  e:	0.0561759
27.	 a  d:	0.3254328
G22
1.	 b  c:	0.4375
2.	 d  e:	0.5
3.	 c  e:	0.30078125
4.	 c  b:	0.4375
5.	 b  d:	0.328125
